CopyPack ID,Product Name,Product ID,Lane,Formula,Formula Meaning,Guide Angle Label,Guide Use Case,Guide Best For,Guide Tone,Guide Claim Risk,Guide Do,Guide Do Not,Guide Production Readiness,Guide Operator Note,Guide Compliance Note,Status
BOSMAX_SERUM_CP_0019,BOSMAX Serum,BOSMAX_SERUM,STEALTH,HSO,Hook -> Story -> Offer,Low-Key Masculine Reminder,Understated reminder framing aimed at male audiences who prefer subtlety,Operators scripting for audiences that respond poorly to hard-sell tone,"Matter-of-fact, low-pressure, peer-to-peer",LOW - peer-reminder framing keeps pressure and claim surface low,"Write as one guy passing along a useful habit, not as a pitch","Do not escalate into urgency language ('act now', 'don't miss out')",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Low-Key Masculine Reminder' angle on BOSMAX Serum. HSO structure - open on a relatable hook, carry it through a short story beat, land on the product as the natural offer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - peer-reminder tone must not slide into urgency-driven sales language,SEED_READY
BOSMAX_SERUM_CP_0020,BOSMAX Serum,BOSMAX_SERUM,STEALTH,AIDA,Attention -> Interest -> Desire -> Action,Premium Reset Positioning,Closing-beat positioning that reframes the product as a fresh-start choice,"Operators wrapping a script with a forward-looking, aspirational close","Optimistic, composed, forward-facing","LOW-MODERATE - 'reset' must stay framed as a personal choice, not a guaranteed outcome",Tie the reset to a personal decision moment; keep the close aspirational,"Do not promise a specific result, timeline, or transformation",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Premium Reset Positioning' angle on BOSMAX Serum. AIDA structure - open with a clean attention beat, build interest and desire through the routine story, close on a soft action cue. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - 'reset' positioning must avoid implying any guaranteed or timed outcome,SEED_READY
BOSMAX_SERUM_CP_0021,BOSMAX Serum,BOSMAX_SERUM,STEALTH,PAS,Problem -> Agitation -> Solution,Private Confidence Reset,Opening hook for viewers seeking a quiet personal reset moment,Operators building soft-entry STEALTH lane content for new audiences,"Calm, private, reassuring","LOW - metaphor only, no medical framing",Frame around personal routine and quiet confidence; keep language general,"Do not name body parts, conditions, or imply a medical fix",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Private Confidence Reset' angle on BOSMAX Serum. PAS structure - lead with the everyday friction point, build it gently, land on the routine as the natural answer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - keep all phrasing metaphor-level per compliance class STEALTH_METAPHOR_REQUIRED,SEED_READY
BOSMAX_SERUM_CP_0022,BOSMAX Serum,BOSMAX_SERUM,STEALTH,SAVAGE_HPAS,High-pressure hook with Problem -> Agitation -> Solution structure,Discreet Night Routine,Evening / wind-down routine framing for low-key product placement,Operators scripting bedtime or end-of-day routine sequences,"Soft-spoken, intimate, unhurried",LOW - lifestyle routine framing only,Anchor the moment in a nightly ritual; let the product sit in the background,Do not escalate into explicit or suggestive language at any point,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Discreet Night Routine' angle on BOSMAX Serum. SAVAGE_HPAS structure - sharper opening hook than standard PAS; keep the agitation beat brief and stay inside the metaphor at all times. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - night-routine framing must stay lifestyle-only, never clinical or explicit",SEED_READY
BOSMAX_SERUM_CP_0023,BOSMAX Serum,BOSMAX_SERUM,STEALTH,HSO,Hook -> Story -> Offer,Premium Masculine Self-Care,Positioning the product as part of an upscale self-care standard,Operators targeting audiences who respond to quality / premium cues,"Confident, polished, understated","LOW-MODERATE - keep premium language aspirational, not comparative-medical","Lean on quality, ritual, and self-respect as the throughline",Do not claim superiority over medical products or make efficacy comparisons,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Premium Masculine Self-Care' angle on BOSMAX Serum. HSO structure - open on a relatable hook, carry it through a short story beat, land on the product as the natural offer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - premium positioning must remain lifestyle-grade, not performance-claim grade",SEED_READY
BOSMAX_SERUM_CP_0024,BOSMAX Serum,BOSMAX_SERUM,STEALTH,AIDA,Attention -> Interest -> Desire -> Action,Soft Stealth Reminder,Light-touch reminder beat placed mid-script to re-anchor the viewer,Operators needing a low-pressure nudge between hook and offer,"Gentle, non-pushy, conversational",LOW - reminder framing carries minimal claim surface,Keep the reminder short and tied back to the routine already established,Do not turn the reminder into a second hard sell or stack new claims onto it,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Soft Stealth Reminder' angle on BOSMAX Serum. AIDA structure - open with a clean attention beat, build interest and desire through the routine story, close on a soft action cue. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - reminder beats must echo the established metaphor, not introduce new claims",SEED_READY
BOSMAX_SERUM_CP_0025,BOSMAX Serum,BOSMAX_SERUM,STEALTH,PAS,Problem -> Agitation -> Solution,Batch Hook Variant,Variant slot for A/B batch testing across STEALTH creative sets,Operators running multi-variant batches who need controlled hook diversity,Adaptive - matches whichever batch tone the operator selects,LOW - variant role only; underlying claim surface unchanged from base angle,Treat as a structural slot - keep the swapped-in hook within the same metaphor family,Do not introduce a new product story or compliance class mid-batch,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Batch Hook Variant' angle on BOSMAX Serum. PAS structure - lead with the everyday friction point, build it gently, land on the routine as the natural answer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - batch variants inherit the base angle's compliance class; do not reclassify per-variant,SEED_READY
BOSMAX_SERUM_CP_0026,BOSMAX Serum,BOSMAX_SERUM,STEALTH,SAVAGE_HPAS,High-pressure hook with Problem -> Agitation -> Solution structure,Stealth Routine Angle,Core routine-build angle that frames the product as a daily habit,Operators building the primary STEALTH narrative spine for a campaign,"Steady, habit-forming, low-drama",LOW - habit framing keeps claim surface minimal,Build the angle around consistency and a repeatable daily moment,Do not attach outcome promises or before/after framing to the routine,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Stealth Routine Angle' angle on BOSMAX Serum. SAVAGE_HPAS structure - sharper opening hook than standard PAS; keep the agitation beat brief and stay inside the metaphor at all times. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - routine angles must stay outcome-neutral; no implied results timeline,SEED_READY
BOSMAX_SERUM_CP_0027,BOSMAX Serum,BOSMAX_SERUM,STEALTH,HSO,Hook -> Story -> Offer,Confidence Recovery Angle,Angle for viewers re-engaging with self-care after a lapse in routine,Operators targeting a 'getting back on track' emotional entry point,"Warm, encouraging, judgment-free","LOW-MODERATE - keep 'recovery' framed as routine, not remedy","Frame recovery as returning to a personal habit, not fixing a problem",Do not use 'recovery' in a way that implies treating a condition,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Confidence Recovery Angle' angle on BOSMAX Serum. HSO structure - open on a relatable hook, carry it through a short story beat, land on the product as the natural offer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - 'recovery' language must read as routine-return, never medical recovery",SEED_READY
BOSMAX_SERUM_CP_0028,BOSMAX Serum,BOSMAX_SERUM,STEALTH,AIDA,Attention -> Interest -> Desire -> Action,Personal Care Cue,Short cue line that bridges a lifestyle moment into the product beat,Operators needing a transition line between story and product reveal,"Light, natural, unforced",LOW - bridging cue carries no independent claim,Keep the cue brief and let it flow naturally from the preceding scene,Do not let the cue carry claims that belong in the main angle copy,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Personal Care Cue' angle on BOSMAX Serum. AIDA structure - open with a clean attention beat, build interest and desire through the routine story, close on a soft action cue. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - cue lines must not introduce claims outside the locked angle copy,SEED_READY
BOSMAX_SERUM_CP_0029,BOSMAX Serum,BOSMAX_SERUM,STEALTH,PAS,Problem -> Agitation -> Solution,Low-Key Masculine Reminder,Understated reminder framing aimed at male audiences who prefer subtlety,Operators scripting for audiences that respond poorly to hard-sell tone,"Matter-of-fact, low-pressure, peer-to-peer",LOW - peer-reminder framing keeps pressure and claim surface low,"Write as one guy passing along a useful habit, not as a pitch","Do not escalate into urgency language ('act now', 'don't miss out')",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Low-Key Masculine Reminder' angle on BOSMAX Serum. PAS structure - lead with the everyday friction point, build it gently, land on the routine as the natural answer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - peer-reminder tone must not slide into urgency-driven sales language,SEED_READY
BOSMAX_SERUM_CP_0030,BOSMAX Serum,BOSMAX_SERUM,STEALTH,SAVAGE_HPAS,High-pressure hook with Problem -> Agitation -> Solution structure,Premium Reset Positioning,Closing-beat positioning that reframes the product as a fresh-start choice,"Operators wrapping a script with a forward-looking, aspirational close","Optimistic, composed, forward-facing","LOW-MODERATE - 'reset' must stay framed as a personal choice, not a guaranteed outcome",Tie the reset to a personal decision moment; keep the close aspirational,"Do not promise a specific result, timeline, or transformation",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Premium Reset Positioning' angle on BOSMAX Serum. SAVAGE_HPAS structure - sharper opening hook than standard PAS; keep the agitation beat brief and stay inside the metaphor at all times. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - 'reset' positioning must avoid implying any guaranteed or timed outcome,SEED_READY
CAP_BURUNG_MINYAK_CP_0001,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,PAS,Problem -> Agitation -> Solution,Traditional Household Comfort,General household-comfort framing for everyday discomfort moments,Operators building broad-appeal DIRECT lane household content,"Warm, familiar, grounded","LOW - comfort framing only, no treatment claim",Frame around everyday comfort and familiar household habits,"Do not say the product cures, treats, or heals any condition or illness",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Traditional Household Comfort' angle on Minyak Warisan Cap Burung. PAS structure - open on the everyday discomfort moment, build it briefly, land on the household routine as the comfort step. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",DIRECT lane - comfort language only; no cure/treat/heal wording per compliance class DIRECT,SEED_READY
CAP_BURUNG_MINYAK_CP_0002,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,AIDA,Attention -> Interest -> Desire -> Action,Sapuan Luar Comfort Cue,Cue line anchored in the external-application (sapuan luar) usage moment,Operators scripting the literal application beat of the routine,"Practical, instructional, calm",LOW - external-use framing keeps claim surface to comfort only,Describe the external application as a comfort step in a daily routine,Do not imply the application removes illness or treats an underlying condition,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Sapuan Luar Comfort Cue' angle on Minyak Warisan Cap Burung. AIDA structure - open with a clear attention beat, build interest/desire around the household habit, close on a simple action cue. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - external-use (sapuan luar) framing must stay comfort-level, never treatment-level",SEED_READY
CAP_BURUNG_MINYAK_CP_0003,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,HSO,Hook -> Story -> Offer,Warm Heritage Relief Positioning,Positioning that connects the product to a long-standing household remedy tradition,Operators leaning into heritage-trust storytelling,"Nostalgic, respectful, reassuring","LOW-MODERATE - 'relief' must stay framed as comfort, not medical relief","Anchor 'relief' in everyday comfort and family tradition, not medical outcomes",Do not pair 'relief' with any claim that the product removes or treats illness,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Warm Heritage Relief Positioning' angle on Minyak Warisan Cap Burung. HSO structure - open on a familiar household hook, carry a short heritage or family story beat, land on the offer plainly. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - 'relief' positioning must read as comfort/heritage, not a medical relief claim",SEED_READY
CAP_BURUNG_MINYAK_CP_0004,Minyak Warisan Cap Burung,CAP_BURUNG_MINYAK,DIRECT,HPAS,Hook -> Problem -> Agitation -> Solution (base structure escalated by SAVAGE_HPAS),Family Routine Angle,Angle framing the product as part of a shared family routine or ritual,Operators building multi-generational household appeal,"Inclusive, caring, routine-oriented",LOW - family-routine framing keeps the claim surface minimal,Show the product as a shared household habit passed between family members,Do not attach the routine to claims about preventing or curing illness,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Family Routine Angle' angle on Minyak Warisan Cap Burung. HPAS structure - sharper opening hook leading into the standard PAS comfort arc; keep the agitation beat brief and household-level. Keep all copy inside the DIRECT lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","DIRECT lane - family-routine framing must remain habit-level, not preventive-health-level",SEED_READY
